username,email,password,tipo
joao,joao@gmail.com,joao123,cliente
maria,maria@gmail.com,maria456,cliente
adm,adm.padaria@gmail.com,adm0000,gerente
lucas,lucas@gmail.com,lucas789,cliente
mariazinha196,mariazinha@gmail.com,mariazinha196,cliente
gabi,gabi@gmail.com,8877,gerente
laura,laura@gmail.com,laura123,gerente
anna,anna@gmail.com,Anna123*,gerente
gui,guimainko@gmail.com,*Gui123*,cliente
patricia,patricia63,Paty633_,cliente
celso,celso@gmail.com,*Celso123,cliente
sol,solange@gmail.com,*Solange123,cliente
beca,beca@gmail.com,Beca0000!,cliente
mi,mimainko3@gmail.com,123,gerente
jose,jose@gmail.com,*#Jose123,cliente
radames,radames@gmail.com,Radames123*,cliente
